50 300 
12 32 -44 
-20 -4 28 
-3 -43 5 
14 38 17 
-22 -39 29 
38 -47 -12 
-23 27 -39 
-4 -7 20 
32 1 -24 
-22 -28 -45 
-7 -46 9 
-50 32 -5 
-20 41 -1 
43 2 -8 
38 -49 4 
31 -24 -16 
-4 44 47 
-16 3 45 
47 -27 -9 
-8 -44 5 
31 29 -50 
-40 -42 38 
-24 -22 27 
43 -19 21 
-14 -18 21 
-16 25 45 
20 3 -23 
-42 5 -39 
-2 28 16 
27 -23 -20 
7 31 -24 
-49 41 13 
12 21 17 
27 -10 -40 
30 7 27 
40 -28 12 
-45 -11 46 
-42 15 -27 
21 -49 5 
-9 18 -6 
9 3 14 
-45 44 24 
-20 -46 36 
-13 -24 25 
50 -43 34 
-44 43 -9 
-30 -48 32 
17 30 48 
32 12 17 
43 39 18 
-21 -25 48 
29 20 38 
37 -42 -40 
-29 -48 -49 
3 25 -48 
-27 -45 38 
35 31 14 
48 -41 32 
-30 25 -37 
-38 -29 23 
25 -26 11 
-30 17 -6 
-47 3 35 
-37 -46 -26 
20 -13 -42 
-37 15 25 
-33 46 12 
-29 48 -41 
-16 -1 -22 
49 4 -13 
-21 5 50 
50 -13 -18 
46 13 -29 
-38 -32 -18 
-18 21 -22 
-21 -3 46 
33 -20 -3 
34 -40 -23 
-28 17 -13 
-42 -24 -31 
-13 -28 35 
31 48 45 
-38 28 -41 
19 -17 22 
-16 -23 -24 
22 -17 48 
-20 -39 30 
-38 -11 -31 
-25 -17 -37 
-50 20 7 
-34 31 -25 
49 1 -31 
-28 47 36 
11 4 -27 
-27 -6 17 
1 13 39 
-30 -17 -49 
37 -12 14 
23 24 18 
-15 6 -46 
19 14 -16 
33 -28 34 
-26 21 18 
-31 50 -45 
-24 11 4 
-39 -16 -38 
-2 48 36 
14 34 -49 
-44 49 -32 
-6 -47 -19 
46 17 -13 
27 6 -26 
-48 -22 19 
48 44 -13 
20 -27 8 
-50 17 40 
42 -43 -34 
-19 30 -47 
-34 17 -45 
-44 -16 41 
-6 45 31 
12 15 -6 
46 -45 -50 
-45 -44 8 
-13 -22 -19 
-31 -16 -45 
14 21 -2 
6 -25 26 
30 -35 20 
10 -34 4 
18 8 23 
19 -28 47 
43 45 47 
6 4 -29 
27 -43 -24 
33 -43 -44 
21 25 26 
-21 -37 -2 
4 -28 34 
-8 13 -16 
-42 12 -39 
8 -10 -17 
14 -41 47 
-16 -22 -41 
-34 25 -42 
44 -3 35 
19 12 13 
20 10 -29 
20 -50 7 
-48 -50 -24 
37 -13 2 
15 -33 35 
4 21 49 
10 18 -25 
-35 -22 21 
-14 20 47 
-47 40 24 
11 -41 -13 
32 2 40 
37 -27 30 
-17 -14 18 
32 11 28 
-30 -23 19 
-19 45 39 
-22 37 16 
-23 -20 -40 
-22 -25 7 
26 -3 10 
-32 43 36 
35 34 13 
-16 26 34 
10 -43 28 
-37 11 -3 
-11 34 -2 
8 -41 -6 
-49 -11 50 
6 2 -49 
46 5 12 
-10 2 16 
-2 21 37 
-32 47 25 
-25 45 -2 
-31 12 28 
-18 25 49 
-17 37 49 
-33 27 15 
-14 -24 -19 
12 9 -40 
12 40 -34 
-12 24 -48 
-30 20 6 
-3 24 -41 
-5 32 17 
11 -44 -2 
1 -31 -12 
2 -10 -11 
29 -4 -25 
-36 -5 33 
1 3 -12 
-30 -19 5 
13 34 -29 
-18 -14 43 
29 -31 -15 
-38 -27 22 
36 5 -47 
-25 46 32 
-27 -39 -26 
34 -38 -4 
28 -4 -27 
-27 46 -42 
-47 -37 -3 
18 25 45 
29 19 -47 
-13 41 18 
33 17 -24 
-44 29 16 
-38 -46 -37 
22 -42 25 
-5 41 1 
-10 42 48 
-3 -12 -35 
16 -10 26 
34 20 37 
-33 20 30 
23 44 17 
28 -44 6 
44 3 -22 
-31 -8 -50 
-34 47 14 
-6 -20 -27 
-31 19 -11 
30 4 34 
-11 27 -14 
43 33 -18 
-27 47 -41 
43 34 41 
13 -28 -40 
31 -43 -19 
-33 6 12 
-45 5 15 
43 -20 25 
47 23 14 
26 -47 21 
34 49 2 
38 -2 -25 
-10 34 -49 
44 -32 -7 
-11 38 49 
17 43 -35 
9 -23 22 
15 -34 -3 
-10 -32 25 
-29 18 -5 
-47 31 29 
-8 44 26 
17 12 -33 
-45 -44 -7 
-6 -39 -34 
-34 -43 48 
-48 5 -47 
-8 -6 15 
6 -41 37 
-11 -44 8 
25 -23 -40 
9 -29 35 
-3 49 -39 
-30 -40 26 
4 11 -21 
-25 -2 -8 
33 -29 -13 
-3 -30 -2 
-45 11 34 
16 -41 23 
-21 -48 -18 
-2 24 25 
-31 43 -2 
-1 -21 41 
8 -27 -49 
14 -21 -47 
-42 -12 41 
22 1 -5 
-34 1 -4 
-7 -45 -33 
6 40 5 
29 -27 -38 
-12 44 18 
-2 49 -33 
-5 -29 35 
-5 -33 20 
-4 -26 33 
-5 -47 24 
-6 45 -26 
48 35 41 
-34 -2 -31 
-43 36 -4 
-18 43 -31 
14 -1 -11 
26 6 35 
33 24 4 
-49 23 7 
